Exhibit Id,firstName,lastName,companyName,booth,email,Exhibit Name,Device Number,phone,eventTag,expirationDate,startDate,endDate,mobile,tacticCode,industry,city,state,country,defaultDemo,defaultDurration,timeZoneOffset,visitorDisplay,visitorDisplayAddr,firstVisitMode,Error
20144424060712289348000502,Himanshu,Saraowgi,Cigniti,B-2,himanshu@tester.com,,100786,112234,AutoTest,11/25/2014,11/25/2014,11/25/2014,11223344,33221144,MyIndustry,Hyderabad,Andhra,India,20,10,2,1,1,1,EVENTNAME is required.
20144424060712289348000503,Himanshu,Saraowgi,Cigniti,B-3,himanshu@test.com,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa23421,100787,112235,AutoTest,11/25/2014,11/25/2014,11/25/2014,11223344,33221144,MyIndustry,Hyderabad,Andhra,India,20,10,2,1,1,1,EVENTNAME must be 120 characters or fewer. Got [aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa23421]
20144424060712289348000504,Himanshu,Saraowgi,Cigniti,B-4,himanshu@tester.com,ExhibitTest4,100788,112236,,11/25/2014,11/25/2014,11/25/2014,11223344,33221144,MyIndustry,Hyderabad,Andhra,India,20,10,2,1,1,1,EVENTTAG is required.
20144424060712289348000505,Himanshu,Saraowgi,Cigniti,B-5,himanshu@test.com,ExhibitTest5,100789,112237,aaaaaaaaaaaaaaaaaaaaa,11/25/2014,11/25/2014,11/25/2014,11223344,33221144,MyIndustry,Hyderabad,Andhra,India,20,10,2,1,1,1,EVENTTAG must be 20 characters or fewer. Got [aaaaaaaaaaaaaaaaaaaaa]
20144424060712289348000507,Himanshu,Saraowgi,Cigniti,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,himanshu@test.com,ExhibitTest7,100790,112238,AutoTest,11/25/2014,11/25/2014,11/25/2014,11223344,33221144,MyIndustry,Hyderabad,Andhra,India,20,10,2,1,1,1,BOOTHNUMBER must be 40 characters or fewer. Got [aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa]
20144424060712289348000508,Himanshu,Saraowgi,Cigniti,B-8,himanshu@tester.com,ExhibitTest8,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,112239,AutoTest,11/25/2014,11/25/2014,11/25/2014,11223344,33221144,MyIndustry,Hyderabad,Andhra,India,20,10,2,1,1,1,DEVICEID must be 40 characters or fewer. Got [aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa]
20144424060712289348000511,Himanshu,Saraowgi,Cigniti,B-11,himanshu@test.com,ExhibitTest11,100795,112240,AutoTest,11/25/2014,25-11-2014,11/25/2014,11223344,33221144,MyIndustry,Hyderabad,Andhra,India,20,10,2,1,1,1,"STARTDATE is not in a valid format. Valid formats are (yyyy-mm-dd), (mm/dd/yyyy) or (mm/dd/yy). Got [25-11-2014]"
20144424060712289348000512,Himanshu,Saraowgi,Cigniti,B-12,himanshu@tester.com,ExhibitTest12,100796,112241,AutoTest,11/25/2014,11/25/2014,25-11-2014,11223344,33221144,MyIndustry,Hyderabad,Andhra,India,20,10,2,1,1,1,"ENDDATE is not in a valid format. Valid formats are (yyyy-mm-dd), (mm/dd/yyyy) or (mm/dd/yy). Got [25-11-2014]"
20144424060712289348000515,Himanshu,Saraowgi,,B-15,himanshu@test.com,ExhibitTest15,100799,112244,AutoTest,11/25/2014,11/25/2014,11/25/2014,11223344,33221144,MyIndustry,Hyderabad,Andhra,India,20,10,2,1,1,1,COMPANY is required.
20144424060712289348000516,Himanshu,Saraowgi,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaab,B-16,himanshu@tester.com,ExhibitTest16,100800,112245,AutoTest,11/25/2014,11/25/2014,11/25/2014,11223344,33221144,MyIndustry,Hyderabad,Andhra,India,20,10,2,1,1,1,COMPANY must be 120 characters or fewer. Got [aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaab]
